Sample,Trigger,post_img_blue,post_img_green,post_img_red,w_rgb_href,vtc_de_valid,vtc_hs,vtc_vs,per_frame_clken,per_frame_href,per_frame_vsync,per_img_blue,per_img_green,per_img_red,post_frame_clken,post_frame_href,post_frame_vsync,post_img_Bit,post_img_Y,post_img_pixel,u_bound_cut/I_awb_de,state
0,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B2,C2,B0,1,1,1,0,00000000,000000000000000000000000,1,00001
1,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A9,BA,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
2,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A2,AF,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
3,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A3,9A,1,1,1,0,00000000,000000000000000000000000,1,00001
4,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,99,95,1,1,1,0,00000000,000000000000000000000000,1,00001
5,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A4,9B,1,1,1,1,11111111,111111111111111111111111,1,00001
6,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A9,B8,A1,1,1,1,1,11111111,111111111111111111111111,1,00001
7,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AC,BB,AD,1,1,1,1,11111111,111111111111111111111111,1,00001
8,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B4,BB,B2,1,1,1,1,11111111,111111111111111111111111,1,00001
9,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,C6,B4,1,1,1,1,11111111,111111111111111111111111,1,00001
10,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B5,BE,B3,1,1,1,0,00000000,000000000000001111000000,1,00001
11,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B1,C4,B4,1,1,1,0,00000000,000000000000000000000000,1,00001
12,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B5,BC,B3,1,1,1,0,00000000,000000000000000000000000,1,00001
13,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,C5,B2,1,1,1,0,00000000,000000000000000000000000,1,00001
14,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AA,BC,B1,1,1,1,0,00000000,000000000000000000000000,1,00001
15,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AC,C6,B3,1,1,1,0,00000000,000000000000000000000000,1,00001
16,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,BB,B3,1,1,1,0,00000000,000000000000000000000000,1,00001
17,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,B9,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
18,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B1,B9,AF,1,1,1,0,00000000,000000000000000000000000,1,00001
19,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AE,BB,B1,1,1,1,0,00000000,000000000000000000000000,1,00001
20,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,B9,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
21,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AE,C3,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
